source_page_key,source_page_url,source_family,link_text,download_url,suffix_hint,discovered_at_utc,final_url,content_type,local_path,status,error,size_bytes
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participant_numbers_plan_budgets,Participant numbers and plan budgets data March 2026 (CSV 6.9MB),https://dataresearch.ndis.gov.au/media/4528/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4528/download?attachment,text/csv; charset=UTF-8,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participant_numbers_plan_budgets__Participant_numbers_and_plan_budgets_data_March_2026.csv,downloaded,,7172167
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participant_numbers_plan_budgets,Participant numbers and plan budgets data December 2025 (CSV 6.9MB),https://dataresearch.ndis.gov.au/media/4484/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4484/download?attachment,text/csv; charset=UTF-8,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participant_numbers_plan_budgets__Participant_numbers_and_plan_budgets_data_December_2025.csv,downloaded,,7180434
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participant_numbers_plan_budgets,Participant numbers and plan budgets data September 2025 (CSV 6.9MB),https://dataresearch.ndis.gov.au/media/4396/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4396/download?attachment,text/csv; charset=UTF-8,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participant_numbers_plan_budgets__Participant_numbers_and_plan_budgets_data_September_2025.csv,downloaded,,7170286
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participant_numbers_plan_budgets,Participant numbers and plan budgets data June 2025 (CSV 7.1MB),https://dataresearch.ndis.gov.au/media/4366/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4366/download?attachment,text/csv; charset=UTF-8,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participant_numbers_plan_budgets__Participant_numbers_and_plan_budgets_data_June_2025_0.csv,downloaded,,7320918
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participant_numbers_plan_budgets,Participant numbers and plan budgets data March 2025 (CSV 6.95MB),https://dataresearch.ndis.gov.au/media/4314/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4314/download?attachment,text/csv; charset=UTF-8,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participant_numbers_plan_budgets__Participant_numbers_and_plan_budgets_data_March_2025.csv,downloaded,,7294158
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participant_numbers_plan_budgets,Participant numbers and plan budgets data December 2024 (CSV 7MB),https://dataresearch.ndis.gov.au/media/4233/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4233/download?attachment,text/csv; charset=UTF-8,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participant_numbers_plan_budgets__Participant_numbers_and_plan_budgets_data_December_2024.csv,downloaded,,7268253
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participant_numbers_plan_budgets,Participant numbers and plan budgets data September 2024 (CSV 6.9MB),https://dataresearch.ndis.gov.au/media/4144/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4144/download?attachment,text/csv; charset=UTF-8,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participant_numbers_plan_budgets__Participant_numbers_and_plan_budgets_September_2024.csv,downloaded,,7137290
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participant_numbers_plan_budgets,Participant numbers and plan budgets data June 2024 (CSV 6.8MB),https://dataresearch.ndis.gov.au/media/4024/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4024/download?attachment,text/csv; charset=UTF-8,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participant_numbers_plan_budgets__Participant_numbers_and_plan_budgets_data._June_2024.csv,downloaded,,7113872
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participant_numbers_plan_budgets,Utilisation of Plan budgets data March 2026 (CSV 9.3MB),https://dataresearch.ndis.gov.au/media/4529/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4529/download?attachment,text/csv; charset=UTF-8,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participant_numbers_plan_budgets__Utilisation_of_plan_budgets_data_March_2026.csv,downloaded,,9657929
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participant_numbers_plan_budgets,Utilisation of Plan budgets data December 2025 (CSV 9.2MB),https://dataresearch.ndis.gov.au/media/4485/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4485/download?attachment,text/csv; charset=UTF-8,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participant_numbers_plan_budgets__Utilisation_of_Plan_budgets_data_December_2025.csv,downloaded,,9611477
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participant_numbers_plan_budgets,Utilisation of Plan budgets data September 2025 (CSV 9.3MB),https://dataresearch.ndis.gov.au/media/4398/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4398/download?attachment,text/csv; charset=UTF-8,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participant_numbers_plan_budgets__Utilisation_of_Plan_budgets_data_September_2025.csv,downloaded,,9677945
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participant_numbers_plan_budgets,Utilisation of Plan budgets data June 2025 (CSV 9.3MB),https://dataresearch.ndis.gov.au/media/4367/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4367/download?attachment,text/csv; charset=UTF-8,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participant_numbers_plan_budgets__Utilisation_of_Plan_budgets_data_June_2025.csv,downloaded,,9615251
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participant_numbers_plan_budgets,Utilisation of Plan budgets data March 2025 (CSV 9.2MB),https://dataresearch.ndis.gov.au/media/4315/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4315/download?attachment,text/csv; charset=UTF-8,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participant_numbers_plan_budgets__Utilisation_of_Plan_budgets_data_March_2025.csv,downloaded,,9577345
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participant_numbers_plan_budgets,Utilisation of Plan budgets data December 2024 (CSV 4.8MB),https://dataresearch.ndis.gov.au/media/4253/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4253/download?attachment,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participant_numbers_plan_budgets__Utilisation_of_Plan_budgets_data_December_2024.xlsx,downloaded,,5012066
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participant_numbers_plan_budgets,Utilisation of Plan budgets data September 2024 (CSV 8.9MB),https://dataresearch.ndis.gov.au/media/4145/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4145/download?attachment,text/csv; charset=UTF-8,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participant_numbers_plan_budgets__Utilisation_of_Plan_budget_data_September_2024.csv,downloaded,,9294429
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participant_numbers_plan_budgets,Utilisation of Plan budgets data June 2024 (CSV 8.9MB),https://dataresearch.ndis.gov.au/media/4026/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4026/download?attachment,text/csv; charset=UTF-8,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participant_numbers_plan_budgets__Utilisation_of_Plan_budgets_data_June_2024.csv,downloaded,,9258531
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participants_count_by_diagnosis,Participants count by diagnosis data (CSV 1.7MB),https://dataresearch.ndis.gov.au/media/4245/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4245/download?attachment,text/csv; charset=UTF-8,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participants_count_by_diagnosis__Participants_count_by_diagnosis_data.csv,downloaded,,1723538
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,plan_management_types,Plan Management types data March 2026 (CSV 7.5MB),https://dataresearch.ndis.gov.au/media/4530/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4530/download?attachment,text/csv; charset=UTF-8,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\plan_management_types__Plan_Management_types_data_March_2026.csv,downloaded,,7849718
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,plan_management_types,Plan Management types data December 2025 (CSV 7.6MB),https://dataresearch.ndis.gov.au/media/4486/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4486/download?attachment,text/csv; charset=UTF-8,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\plan_management_types__Plan_Management_types_data_December_2025.csv,downloaded,,7895778
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,plan_management_types,Plan Management types data September 2025 (CSV 7.6MB),https://dataresearch.ndis.gov.au/media/4397/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4397/download?attachment,text/csv; charset=UTF-8,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\plan_management_types__Plan_Management_types_data_September_2025.csv,downloaded,,7930642
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,plan_management_types,Plan Management types data June 2025 (CSV 7.6MB),https://dataresearch.ndis.gov.au/media/4368/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4368/download?attachment,text/csv; charset=UTF-8,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\plan_management_types__Plan_Management_types_data_June_2025.csv,downloaded,,7969878
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,plan_management_types,Plan Management types data March 2025 (ZIP 7.7MB),https://dataresearch.ndis.gov.au/media/4316/download?attachment,.zip,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4316/download?attachment,text/csv; charset=UTF-8,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\plan_management_types__Plan_Management_types_data_March_2025.csv,downloaded,,7983082
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,plan_management_types,Plan Management types data December 2024 (CSV 7.7MB),https://dataresearch.ndis.gov.au/media/4246/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4246/download?attachment,text/csv; charset=UTF-8,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\plan_management_types__Plan_Management_types_data_December_2024.csv,downloaded,,7995834
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,plan_management_types,Plan Management types data September 2024 (ZIP 2.0MB),https://dataresearch.ndis.gov.au/media/4146/download?attachment,.zip,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4146/download?attachment,application/zip,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\plan_management_types__Plan_Management_types_data_September_2024.zip,downloaded,,2001601
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,plan_management_types,Plan Management types data Part 1 June 2024 (ZIP 5.5MB),https://dataresearch.ndis.gov.au/media/4043/download?attachment,.zip,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4043/download?attachment,application/zip,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\plan_management_types__Plan_Management_types_data_Part_1_June_2024.zip,downloaded,,5732856
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,plan_management_types,Plan Management types data Part 2 June 2024 (ZIP 1.3MB),https://dataresearch.ndis.gov.au/media/4044/download?attachment,.zip,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4044/download?attachment,application/zip,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\plan_management_types__Plan_Management_types_data_Part_2_June_2024.zip,downloaded,,1336511
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participant_other,Participant goals data (XLSX 104KB),https://dataresearch.ndis.gov.au/media/4104/download?attachment,.xlsx,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4104/download?attachment,text/csv; charset=UTF-8,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participant_other__Participant_goals_data_3_.csv,downloaded,,105667
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participant_other,First Nations participants (CSV 52KB),https://dataresearch.ndis.gov.au/media/4227/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4227/download?attachment,text/csv; charset=UTF-8,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participant_other__First_Nations_participants.csv,downloaded,,52965
