source_family,file_name,sheet_name,table_label,read_status,row_count,column_count,candidate_sa2_code_columns,candidate_sa3_code_columns,candidate_sa2_name_columns,candidate_sa3_name_columns,has_sa2_column_signal,has_sa3_column_signal,has_lga_column_signal,has_service_district_column_signal,has_phn_column_signal,has_state_column_signal,register_join_readiness,processing_recommendation,recommended_join_key,processing_reason
participants_by_sa2,participants_by_sa2__2026-03-31__participants_by_sa2__Participants_by_SA2_data.csv,,participants_by_sa2__2026-03-31__participants_by_sa2__Participants_by_SA2_data.csv,read_ok,60996,5,SA2Cd2016,,,,True,False,False,False,False,True,joinable_now_sa2,process_for_poc_sa2_join,SA2Cd2016,Participants by SA2 has SA2 geography and can be joined directly as a time-misaligned POC context layer.
participants_by_sa3,participants_by_sa3__2026-03-31__participants_by_sa3__Participants_by_SA3_data.csv,,participants_by_sa3__2026-03-31__participants_by_sa3__Participants_by_SA3_data.csv,read_ok,9038,5,,SA3Cd2016,,,False,True,False,False,False,True,joinable_now_sa3,process_for_poc_sa3_join,SA3Cd2016,Participants by SA3 has SA3 geography and can be joined directly to SA2 rows through sa3_code_2021 as a time-misaligned POC context layer.
participant_numbers_plan_budgets,participant_numbers_plan_budgets__2024-06-30__participant_numbers_plan_budgets__Participant_numbers_and_plan_budgets_data._June_2024.csv,,participant_numbers_plan_budgets__2024-06-30__participant_numbers_plan_budgets__Participant_numbers_and_plan_budgets_data._June_2024.csv,read_ok,101021,8,,,,,False,False,False,False,False,True,context_only_unbridged,context_only_state_level,,State-level context only. Do not join to SA2 modelling master.
payments,payments__2024-06-30__payments__Payments_data_June_2024.csv,,payments__2024-06-30__payments__Payments_data_June_2024.csv,read_ok,114034,11,,,,,False,False,False,False,False,True,context_only_unbridged,context_only_state_level,,State-level context only. Do not join to SA2 modelling master.
active_providers,active_providers__2024-06-30__active_providers__Active_providers_data_June_2024_2_.csv,,active_providers__2024-06-30__active_providers__Active_providers_data_June_2024_2_.csv,read_ok,197616,8,,,,,False,False,False,False,False,True,context_only_unbridged,context_only_state_level,,State-level context only. Do not join to SA2 modelling master.
market_concentration,market_concentration__2026-03-31__market_concentration__Market_Concentration_data.csv,,market_concentration__2026-03-31__market_concentration__Market_Concentration_data.csv,read_ok,14915,6,,,,,False,False,False,False,False,True,context_only_unbridged,context_only_state_level,,State-level context only. Do not join to SA2 modelling master.
market_insights,market_insights__2021-12-31__202112_01_The_NDIS_Market_Insights_Dashboard_-_data.csv,,market_insights__2021-12-31__202112_01_The_NDIS_Market_Insights_Dashboard_-_data.csv,read_ok,431,7,,,,,False,False,False,False,False,False,context_only_review,manual_review_no_clear_join_geography,,No clear SA2 or SA3 join geography detected.
plan_management,plan_management__2024-12-31__plan_management_types__Plan_Management_types_data_December_2024.csv,,plan_management__2024-12-31__plan_management_types__Plan_Management_types_data_December_2024.csv,read_ok,107554,8,,,,,False,False,False,False,False,True,context_only_unbridged,context_only_state_level,,State-level context only. Do not join to SA2 modelling master.
sda_participants,sda_participants__2026-03-31__sda_participants__SDA_participants_data.csv,,sda_participants__2026-03-31__sda_participants__SDA_participants_data.csv,read_ok,2292,4,,,,,False,False,False,False,False,True,context_only_unbridged,context_only_state_level,,State-level context only. Do not join to SA2 modelling master.
sil_participants,sil_participants__2026-03-31__sil_participants__SIL_participants_data.csv,,sil_participants__2026-03-31__sil_participants__SIL_participants_data.csv,read_ok,2270,4,,,,,False,False,False,False,False,True,context_only_unbridged,context_only_state_level,,State-level context only. Do not join to SA2 modelling master.
sda_dwellings_demand,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx,Figure P.1,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx::Figure P.1,read_ok,5,1,,,,,False,False,False,False,False,False,context_only_state,manual_review_no_clear_join_geography,,No clear SA2 or SA3 join geography detected.
sda_dwellings_demand,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx,Intro,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx::Intro,read_ok,9,1,,,,,False,False,False,False,False,False,context_only_state,manual_review_no_clear_join_geography,,No clear SA2 or SA3 join geography detected.
sda_dwellings_demand,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx,Table P.1,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx::Table P.1,read_ok,103,7,,,,,False,False,False,False,False,False,context_only_state,manual_review_no_clear_join_geography,,No clear SA2 or SA3 join geography detected.
sda_dwellings_demand,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx,Table P.10,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx::Table P.10,read_ok,111,7,,,,,False,False,False,False,False,False,context_only_state,manual_review_no_clear_join_geography,,No clear SA2 or SA3 join geography detected.
sda_dwellings_demand,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx,Table P.11,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx::Table P.11,read_ok,99,74,,,,,False,False,False,False,False,False,context_only_state,manual_review_no_clear_join_geography,,No clear SA2 or SA3 join geography detected.
sda_dwellings_demand,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx,Table P.12,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx::Table P.12,read_ok,99,16384,,,,,False,False,False,False,False,False,context_only_state,manual_review_no_clear_join_geography,,No clear SA2 or SA3 join geography detected.
sda_dwellings_demand,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx,Table P.13,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx::Table P.13,read_ok,354,6,,,,,False,True,False,False,False,False,context_only_state,manual_review_no_clear_join_geography,,No clear SA2 or SA3 join geography detected.
sda_dwellings_demand,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx,Table P.14,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx::Table P.14,read_ok,354,8,,,,,False,True,False,False,False,False,context_only_state,manual_review_no_clear_join_geography,,No clear SA2 or SA3 join geography detected.
sda_dwellings_demand,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx,Table P.15,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx::Table P.15,read_ok,354,8,,Table P.15 Number of Enrolled SDA Dwellings by SA3 Region and Maximum number of residents as at 31 March 2026 (excluding in-kind arrangements),,,False,True,False,False,False,False,context_only_state,manual_review_no_clear_join_geography,,No clear SA2 or SA3 join geography detected.
sda_dwellings_demand,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx,Table P.16,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx::Table P.16,read_ok,100,57,,,,,False,False,False,False,False,False,context_only_state,manual_review_no_clear_join_geography,,No clear SA2 or SA3 join geography detected.
sda_dwellings_demand,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx,Table P.17,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx::Table P.17,read_ok,358,4,,Table P.17 Number of Participants with identified SDA needs by status and SA3 Region as at 31 March 2026,,,False,True,False,False,False,False,context_only_state,manual_review_no_clear_join_geography,,No clear SA2 or SA3 join geography detected.
sda_dwellings_demand,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx,Table P.18,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx::Table P.18,read_ok,360,7,,,,,False,True,False,False,False,False,context_only_state,manual_review_no_clear_join_geography,,No clear SA2 or SA3 join geography detected.
sda_dwellings_demand,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx,Table P.2,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx::Table P.2,read_ok,16,6,,,,,False,False,False,False,False,False,context_only_state,manual_review_no_clear_join_geography,,No clear SA2 or SA3 join geography detected.
sda_dwellings_demand,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx,Table P.3,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx::Table P.3,read_ok,15,2,,,,,False,False,False,False,False,True,context_only_state,context_only_state_level,,State-level context only. Do not join to SA2 modelling master.
sda_dwellings_demand,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx,Table P.4,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx::Table P.4,read_ok,99,6,,,,,False,False,False,False,False,False,context_only_state,manual_review_no_clear_join_geography,,No clear SA2 or SA3 join geography detected.
sda_dwellings_demand,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx,Table P.5,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx::Table P.5,read_ok,99,8,,,,,False,False,False,False,False,False,context_only_state,manual_review_no_clear_join_geography,,No clear SA2 or SA3 join geography detected.
sda_dwellings_demand,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx,Table P.6,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx::Table P.6,read_ok,99,8,,,,,False,False,False,False,False,False,context_only_state,manual_review_no_clear_join_geography,,No clear SA2 or SA3 join geography detected.
sda_dwellings_demand,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx,Table P.7,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx::Table P.7,read_ok,99,7,,,,,False,False,False,False,False,False,context_only_state,manual_review_no_clear_join_geography,,No clear SA2 or SA3 join geography detected.
sda_dwellings_demand,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx,Table P.8,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx::Table P.8,read_ok,103,7,,,,,False,False,False,False,False,False,context_only_state,manual_review_no_clear_join_geography,,No clear SA2 or SA3 join geography detected.
sda_dwellings_demand,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx,Table P.9,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx::Table P.9,read_ok,109,4,,,,,False,False,False,False,False,False,context_only_state,manual_review_no_clear_join_geography,,No clear SA2 or SA3 join geography detected.
sda_dwellings_demand,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx,TableOfContents,sda_dwellings_demand__2026-03-30__sda_dwellings_demand__SDA_Enrolled_dwellings_and_NDIS_demand_data_.xlsx::TableOfContents,read_ok,21,5,,,,,False,False,False,False,False,False,context_only_state,manual_review_no_clear_join_geography,,No clear SA2 or SA3 join geography detected.
diagnosis,diagnosis__2026-03-31__participants_count_by_diagnosis__Participants_count_by_diagnosis_data.csv,,diagnosis__2026-03-31__participants_count_by_diagnosis__Participants_count_by_diagnosis_data.csv,read_ok,25322,6,,,,,False,False,False,False,False,True,context_only_state,context_only_state_level,,State-level context only. Do not join to SA2 modelling master.
first_nations_participants,first_nations_participants__2026-03-31__participant_other__First_Nations_participants.csv,,first_nations_participants__2026-03-31__participant_other__First_Nations_participants.csv,read_ok,1546,5,,,,,False,False,False,False,False,True,context_only_state,context_only_state_level,,State-level context only. Do not join to SA2 modelling master.
cald_participants,cald_participants__2026-03-31__participant_other__Culturally_and_linguistically_diverse_participants.csv,,cald_participants__2026-03-31__participant_other__Culturally_and_linguistically_diverse_participants.csv,read_ok,1072,5,,,,,False,False,False,False,False,True,context_only_state,context_only_state_level,,State-level context only. Do not join to SA2 modelling master.
baseline_outcomes,baseline_outcomes__2026-03-31__other_download__Baseline_Outcomes_data.csv,,baseline_outcomes__2026-03-31__other_download__Baseline_Outcomes_data.csv,read_ok,594,6,,,,,False,False,False,False,False,True,context_only_state,context_only_state_level,,State-level context only. Do not join to SA2 modelling master.
other_ndia_public,other_ndia_public__2026-03-31__participant_other__Participants_by_CED_data.csv,,other_ndia_public__2026-03-31__participant_other__Participants_by_CED_data.csv,read_ok,2562,5,,,,,False,False,False,False,False,True,context_only_state,context_only_state_level,,State-level context only. Do not join to SA2 modelling master.
